row_id,text,original_label,story_id,message_type,hierarchy_l1,hierarchy_l2,hierarchy_l3,hierarchy_l4,hierarchy_l5,hierarchy,hF1_path,hF1_ancestors,story_size,review_status,review_reason
11,"❗️Трамп заявил о достижении договоренности по редкоземельным металлам с Украиной, вскоре ожидается подписание, передает Рейтер",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
12,"Договоренность по редкоземельным металлам между США и Украиной может быть подписана уже на следующей неделе, сообщил глава американского минфина",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
13,"Россия и США могут сотрудничать в сфере редкоземельных металлов, Москва открыта к тому, чтобы американские партнеры инвестировали в месторождения, заявил глава РФПИ Кирилл Дмитриев",usa_russia_metals,usa_russia_rare_earth_projects,opinion,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
14,"Команда Трампа грозила Украине раскрыть случаи коррупции в стране, если Киев не подпишет сделку по редкоземельным металлам, пишет Washington Post",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
15,"В Европе считают, что вице-президент США Джей Ди Вэнс придерживается более жесткой позиции по Украине, чем Трамп, пишет Блумберг. 

Агентство ссылается на источников, знакомых с ходом переговоров по урегулированию разногласий между Трампом и Зеленским и подписанию сделки по редкоземельным металлам. 

Утверждается, что позиция Вэнса жестче не только, чем у Трампа, но и чем у госсекретаря Рубио, помощника президента по нацбезопасности Уолтца и спецпосланника Келлога.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
16,"Белый дом заявил, что переговоры США и Украины по сделке по редкоземельным металлам ""продолжаются в реальном времени""",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
17,"Москва остается открытой к сотрудничеству с американскими компаниями, в том числе, по редкоземельным металлам, но пока не может его предложить из-за сохраняющихся санкций, сообщил Песков радиостанции ""Маяк""",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
18,"Киев твердо настроен продолжать работу с США и готов подписать соглашение по редкоземельным металлам, заявил украинский премьер Шмыгаль.
Мы всеми имеющимися для нас дипломатическими каналами будем продолжать работу с США, с Конгрессом США, с администрацией Трампа и с самим президентом Трампом",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
19,"Зеленский заявил, что по-прежнему готов подписать сделку с США по редкоземельным металлам, передает агентство Рейтер",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
20,"Володин, комментируя вчерашнюю встречу Трампа и Зеленского, а также сорвавшуюся сделку США и Украины по металлам, заявил, что ресурсы - тема важная, но не главная.

По словам спикера Госдумы, преимущество России по сравнению с другими странами - не нефть и не редкоземельные металлы, а президент Путин.
Поэтому как никогда именно сегодня, в период вызовов и внешней агрессии, крайне важна консолидация всех граждан, политических сил вокруг главы нашего государства. Опираясь на которую, он сможет отстоять интересы страны, сделать всё для её безопасности.
Россия в последнее время преодолевает многие испытания, и роль президента в этом огромна, подчеркнул спикер Госдумы. Если руководители европейских стран не осознают ответственности перед своими согражданами, то российский президент думает в первую очередь о людях, отметил Володин.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
21,"Сенатор Грэм заявил, что ""не видит сценария"", при котором США вернутся к подписанию сделки с Украиной по редкоземельным металлам",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
22,"Соглашение между Украиной и США по редкоземельным металлам не было подписано, сообщил пресс-секретарь Белого дома",usa_ukraine_metals,usa_ukraine_rare_earth_deal,fact,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
23,"Сенатор Грэм выразил скептицизм по поводу перспектив возобновления переговоров, заявив, что не усматривает ни одного реалистичного сценария, при котором США вернутся к подписанию сделки с Украиной, касающейся редкоземельных металлов.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
24,"⚡️Подписание сделки между США и Украиной по редкоземельным металлам отменено, сообщает Fox",usa_ukraine_metals,usa_ukraine_rare_earth_deal,fact,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
25,"США ожидают, что сделка с Украиной по редкоземельным металлам принесет прибыль в $20 млрд, заявили в Белом доме",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
26,"Трамп отменил визит Зеленского в США, после чего тот позвонил Макрону, который в свою очередь позвонил американскому лидеру и уговорил его поменять решение, сообщает BFMTV.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,fact,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
27,"Зеленский не намерен подписывать без гарантий безопасности экономическое соглашение с США, которое должно последовать за рамочным соглашением по редкоземельным металлам, пишет Economist.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
28,"Зеленский сделкой с США по редкоземельным металлам заложил останки Украины в ломбард, считает находящийся в СИЗО по обвинению в госизмене депутат Рады Дубинский.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
29,"На самом деле, Зеленский не просто предатель, он - хуже. Потому что сейчас продает стратегические ресурсы Украины и будущее поколений украинцев. Ларечник и клоун не просто уничтожили страну, они сдали ее останки в ломбард. И будут за это прокляты.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
30,"Россия занимает 4-е место в мире по запасам редкоземельных металлов, напомнил глава РФПИ Кирилл Дмитриев.

Так он прокомментировал в соцсети X слова Трампа, заявившего, что Штаты хотели бы покупать как украинские, так и российские природные ресурсы.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,fact,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
31,"Глава РФПИ Кирилл Дмитриев напомнил, что Россия обладает четвертыми в мире запасами редкоземельных металлов.

Этот комментарий он сделал в соцсети X в ответ на заявление Трампа о заинтересованности США в покупке природных ресурсов как Украины, так и России.",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
32,"Президент Колумбии Петро назвал ""глупостью Зеленского"" соглашение по редкоземельным металлам с США:
Глупость Зеленского, и я говорю об этом прямо, в том, что он позволил собой манипулировать западным европейцам, которые не знают, куда они идут, то ли к Гитлеру, то ли в никуда. Они воюют со своими славянскими братьями и в итоге отдают Украину американцам. Глупость",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
33,"❗️Трамп заявил, что будущее соглашение с Украиной по редкоземельным металлам может оцениваться в $1 трлн",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
34,"Подписание соглашения США и Украины по редкоземельным металлам может состояться в Вашингтоне 28 февраля, передает Франс Пресс",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
35,"❗️Киев согласился на новые условия сделки по редкоземельным металлам с США после отказа Вашингтона от требования возместить $500 млрд, пишет Financial Times.

Отмечается, что финальная версия соглашения не содержит упоминаний о гарантиях безопасности с американской стороны.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
36,"❗️Россия готова работать с иностранными партнерами в сфере разработки редкоземельных металлов, в том числе в новых регионах, заявил Путин",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
37,"❗️Россия была бы готова предложить США возможность совместной работы в области редкоземельных металлов, заявил Путин",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
38,"США заинтересованы в ""огромных запасах"" редкоземельных металлов России и других ""очень ценных ресурсах"", заявил Трамп",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
39,"Трамп надеется на подписание сделки с Украиной по редкоземельным металлам ""в очень скорое время"".

Американский президент считает, что Вашингтон не должен терять деньги на помощь Украине, сделка позволит это исправить.",usa_russia_metals,usa_russia_rare_earth_projects,official_comment,politics,international_relations,usa_russia,resources,,politics/international_relations/usa_russia/resources,root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_russia|root/politics/international_relations/usa_russia/resources|root/politics/international_relations/usa_russia/resources/usa_russia_rare_earth_projects,11,review,check_boundary_with_adjacent_story
40,"Зеленский накричал на главу минфина США Бессента, когда они обсуждали сделку по редкоземельным металлам в Киеве, пишет Financial Times.
Доносящиеся оттуда (из офиса Зеленского) хриплые крики нельзя было ни с чем спутать
Эта сделка, по которой Украина была бы обязана передать Штатам права на 50% еще не добытых минеральных ресурсов в ответ на финансовую и военную помощь, пока не состоялась, что, как утверждает пресса, очень злит Трампа.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,opinion,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
41,"США ожидают, что сделка по редкоземельным минералам с Украиной может быть подписана на следующей неделе, заявил спецпосланник Трампа Уиткофф",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
42,"США помимо редкоземельных металлов хотят получить от Украины ее нефть и ""все, что угодно"" для компенсации выделенных ей средств, заявил Трамп",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
43,"Трамп очень разочарован Зеленским из-за отказа от предложенной возможности в вопросе компенсации США, заявил советник американского президента Уолц, добавив, что Киеву стоит вернуться к переговорам по редкоземельным металлам",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
44,"Трамп заявил, что Киев сорвал сделку по редкоземельным металлам",usa_ukraine_metals,usa_ukraine_rare_earth_deal,official_comment,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
45,"Зеленский хочет гарантий безопасности от США в обмен на редкоземельные металлы, об этом он заявил CNN Türk.",usa_ukraine_metals,usa_ukraine_rare_earth_deal,fact,politics,international_relations,usa_ukraine,resources,,politics/international_relations/usa_ukraine/resources,root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,root|root/politics|root/politics/international_relations|root/politics/international_relations/usa_ukraine|root/politics/international_relations/usa_ukraine/resources|root/politics/international_relations/usa_ukraine/resources/usa_ukraine_rare_earth_deal,38,review,check_boundary_with_adjacent_story
